"department","type of sell","average market price"
"22","Maison","1680"
"29","Maison","1780"
"35","Maison","2208"
"56","Maison","2131"
"22","Appartement","3438"
"29","Appartement","3041"
"35","Appartement","3670"
"56","Appartement","3665"
"22","Vente terrain à bâtir","445"
"29","Vente terrain à bâtir","195"
"35","Vente terrain à bâtir","701"
"56","Vente terrain à bâtir","2986"
