"geocode","city","type of sell","average market price"
"22077","HENANSAL","Maison","1485"
"22145","MEGRIT","Maison","1233"
"22076","HENANBIHEN","Maison","1920"
"22369","TREMEUR","Maison","1074"
"22021","BRUSVILY","Maison","1473"
"22032","CAULNES","Maison","1276"
"22368","TREMEREUC","Maison","2208"
"22323","SAINT-POTAN","Maison","1530"
"22306","SAINT-JUDOCE","Maison","1385"
"22003","AUCALEUC","Maison","1661"
"22049","CREHEN","Maison","1772"
"22388","VILDE-GUINGALAN","Maison","1812"
"22008","BOBITAL","Maison","1987"
"22312","SAINT-MADEN","Maison","1175"
"22286","SAINT-DENOUAL","Maison","1693"
"22305","SAINT-JOUAN-DE-L ISLE","Maison","1103"
"22315","SAINT-MAUDEZ","Maison","1500"
"22352","TREFUMEL","Maison","1386"
"22263","LE QUIOU","Maison","945"
"22283","SAINT-CLET","Maison","1176"
"22092","KERPERT","Maison","882"
"22225","PLOUMAGOAR","Maison","1387"
"22212","PLOUEC-DU-TRIEUX","Maison","1068"
"22220","PLOUGUERNEVEL","Maison","826"
"22266","ROSTRENEN","Maison","882"
"22067","GRACES","Maison","1310"
"22004","BEGARD","Maison","1281"
"22019","BRINGOLO","Maison","1719"
"22116","LANRODEC","Maison","1320"
"22023","BULAT-PESTIVIEN","Maison","942"
"22321","ST NICOLAS DU PELEM","Maison","991"
"22161","PABU","Maison","1458"
"22070","GUINGAMP","Maison","1276"
"22135","LOUARGAT","Maison","1307"
"22202","PLEVIN","Maison","1075"
"22115","LANRIVAIN","Maison","739"
"22344","TREBRIVAN","Maison","830"
"22229","PLOUNEVEZ QUINTIN","Maison","896"
"22204","PLOEZAL","Maison","1177"
"22358","TREGONNEAU","Maison","1027"
"22005","BELLE ISLE EN TERRE","Maison","938"
"22065","GOUDELIN","Maison","1453"
"22025","CALLAC","Maison","784"
"22128","LOCARN","Maison","1126"
"22157","LE MOUSTOIR","Maison","1008"
"22137","MAEL CARHAIX","Maison","902"
"22272","ST AGATHON","Maison","1357"
"22331","SAINTE-TREPHINE","Maison","1182"
"22138","MAEL-PESTIVIEN","Maison","781"
"22164","PEDERNEC","Maison","1148"
"22091","KERMOROCH","Maison","1295"
"22163","PAULE","Maison","1040"
"22365","TREMARGAT","Maison","834"
"22256","QUEMPER GUEZENNEC","Maison","1264"
"22189","PLESIDY","Maison","1403"
"22072","GURUNHUEL","Maison","1158"
"22024","CALANHEL","Maison","1172"
"22294","SAINT-GILLES-PLIGEAUX","Maison","879"
"22216","PLOUGONVER","Maison","936"
"22250","PONTRIEUX","Maison","1133"
"22293","SAINT-GILLES-LES-BOIS","Maison","1038"
"22354","TREGLAMUS","Maison","1130"
"22269","RUNAN","Maison","736"
"22338","SQUIFFIEC","Maison","1090"
"22061","GLOMEL","Maison","1207"
"22052","DUAULT","Maison","926"
"22328","SAINT-SERVAIS","Maison","912"
"22322","SAINT-PEVER","Maison","1202"
"22013","BOURBRIAC","Maison","1167"
"22310","SAINT-LAURENT","Maison","1274"
"22087","KERGRIST-MOELOU","Maison","882"
"22088","KERIEN","Maison","802"
"22018","BRELIDY","Maison","1193"
"22231","PLOURAC H","Maison","989"
"22335","SENVEN-LEHART","Maison","1489"
"22223","PLOUISY","Maison","1233"
"22249","PONT-MELVEZ","Maison","760"
"22243","PLUSQUELLEC","Maison","875"
"22351","TREFFRIN","Maison","1110"
"22271","SAINT-ADRIEN","Maison","1827"
"22289","SAINT-FIACRE","Maison","1228"
"22284","SAINT-CONNAN","Maison","915"
"22037","LA CHAPELLE NEUVE","Maison","875"
"22031","CARNOET","Maison","779"
"22095","LANDEBAERON","Maison","1032"
"22373","TREOGAN","Maison","724"
"22304","SAINT-JEAN-KERDANIEL","Maison","1600"
"22139","MAGOAR","Maison","906"
"22029","CANIHUEL","Maison","1098"
"22156","MOUSTERU","Maison","926"
"22040","COADOUT","Maison","1139"
"22129","LOC-ENVEL","Maison","704"
"22320","SAINT-NICODEME","Maison","659"
"22169","PEUMERIT-QUINTIN","Maison","731"
"22132","LOHUEC","Maison","935"
"22226","PLOUMILLIAU","Maison","1563"
"22235","PLOUZELAMBRE","Maison","1171"
"22224","PLOULEC'H","Maison","1827"
"22113","LANNION","Maison","1652"
"22134","LOUANNEC","Maison","2239"
"22168","PERROS-GUIREC","Maison","2560"
"22218","PLOUGRESCANT","Maison","2300"
"22199","PLEUMEUR-GAUTIER","Maison","1295"
"22245","PLUZUNET","Maison","1228"
"22034","CAVAN","Maison","1254"
"22349","TREDREZ-LOCQUEMEAU","Maison","2129"
"22198","PLEUMEUR-BODOU","Maison","2411"
"22353","TREGASTEL","Maison","2650"
"22211","PLOUBEZRE","Maison","1629"
"22166","PENVENAN","Maison","2372"
"22207","PLOUARET","Maison","1276"
"22387","LE VIEUX MARCHE","Maison","1187"
"22362","TREGUIER","Maison","1737"
"22131","LOGUIVY-PLOUGRAS","Maison","1167"
"22194","PLESTIN-LES-GREVES","Maison","1795"
"22101","LANGOAT","Maison","1485"
"22264","LA ROCHE DERRIEN","Maison","1464"
"22042","COATREVEN","Maison","1581"
"22110","LANMERIN","Maison","1541"
"22379","TREVOU-TREGUIGNEC","Maison","2348"
"22127","LEZARDRIEUX","Maison","2377"
"22363","TRELEVERN","Maison","2140"
"22152","MINIHY-TREGUIER","Maison","1602"
"22366","TREMEL","Maison","1925"
"22195","PLEUBIAN","Maison","1783"
"22028","CAMLEZ","Maison","1377"
"22359","TREGROM","Maison","1096"
"22030","CAOUENNEC-LANVEZEAC","Maison","1223"
"22383","TROGUERY","Maison","915"
"22343","TREBEURDEN","Maison","2595"
"22227","PLOUNERIN","Maison","1158"
"22228","PLOUNEVEZ-MOEDEC","Maison","1014"
"22265","ROSPEZ","Maison","1304"
"22340","TONQUEDEC","Maison","1649"
"22347","TREDARZEC","Maison","1426"
"22238","PLUFUR","Maison","1320"
"22119","LANVELLEC","Maison","1303"
"22085","KERBORS","Maison","1907"
"22196","PLEUDANIEL","Maison","1363"
"22221","PLOUGUIEL","Maison","1650"
"22090","KERMARIA-SULARD","Maison","1523"
"22319","SAINT-MICHEL-EN-GREVE","Maison","1350"
"22111","LANMODEZ","Maison","2132"
"22324","SAINT-QUAY-PERROS","Maison","2561"
"22217","PLOUGRAS","Maison","997"
"22254","PRAT","Maison","1243"
"22006","BERHET","Maison","1352"
"22350","TREDUDER","Maison","1505"
"22381","TREZENY","Maison","1327"
"22257","QUEMPERVEN","Maison","878"
"22041","COATASCORN","Maison","1564"
"22033","CAUREL","Maison","1169"
"22244","PLUSSULIEN","Maison","1034"
"22064","GOUAREC","Maison","882"
"22184","PLEMY","Maison","1207"
"22047","CORLAY","Maison","787"
"22046","LE MENE","Maison","1040"
"22255","LA PRENESSAYE","Maison","897"
"22313","SAINT-MARTIN-DES-PRES","Maison","894"
"22371","TREMOREL","Maison","964"
"22285","SAINT-CONNEC","Maison","1086"
"22183","PLEMET","Maison","1178"
"22241","PLUMIEUX","Maison","1281"
"22295","SAINT-GILLES-VIEUX-MARCHE","Maison","966"
"22133","LE LOSCOUET-SUR-MEU","Maison","1079"
"22124","LESCOUET-GOUAREC","Maison","1158"
"22181","PLELAUFF","Maison","1077"
"22074","LE HAUT-CORLAY","Maison","1234"
"22260","LE QUILLIO","Maison","1224"
"22136","LOUDEAC","Maison","1277"
"22039","LA CHEZE","Maison","985"
"22146","MELLIONNEC","Maison","1732"
"22219","PLOUGUENAST","Maison","1369"
"22027","LE CAMBOUT","Maison","604"
"22279","SAINT-CARADEC","Maison","969"
"22275","SAINT-BARNABE","Maison","1099"
"22147","MERDRIGNAC","Maison","999"
"22158","GUERLEDAN","Maison","1052"
"22107","BON REPOS SUR BLAVET","Maison","1048"
"22316","SAINT-MAYEUX","Maison","856"
"22122","LAURENAN","Maison","856"
"22148","MERILLAC","Maison","996"
"22384","UZEL","Maison","947"
"22376","TREVE","Maison","1103"
"22330","SAINT-THELO","Maison","859"
"22083","ILLIFAUT","Maison","784"
"22062","GOMENE","Maison","916"
"22060","GAUSSON","Maison","1342"
"22075","HEMONSTOIR","Maison","998"
"22314","SAINT-MAUDAN","Maison","1142"
"22043","COETLOGON","Maison","1340"
"22149","MERLEAC","Maison","945"
"22068","GRACE-UZEL","Maison","963"
"22288","SAINT-ETIENNE-DU-GUE-DE-L I","Maison","870"
"22333","SAINT-VRAN","Maison","1253"
"22155","LA MOTTE","Maison","1227"
"22300","SAINT-HERVE","Maison","1492"
"22334","SAINT-YGEAUX","Maison","1000"
"22001","ALLINEUC","Maison","894"
"29057","LA FORET-FOUESNANT","Maison","2389"
"29028","CLEDEN-CAP SIZUN","Maison","1256"
"29232","QUIMPER","Maison","1905"
"29170","PLOMELIN","Maison","1767"
"29158","PENMARCH","Maison","1887"
"29072","GUILVINEC","Maison","1712"
"29046","DOUARNENEZ","Maison","1619"
"29003","AUDIERNE","Maison","2301"
"29197","PLOUHINEC","Maison","1812"
"29292","TREGUENNEC","Maison","2405"
"29225","POULDREUZIC","Maison","1422"
"29220","PONT L ABBE","Maison","1925"
"29165","PLOBANNALEC LESCONIL","Maison","1895"
"29135","LOCTUDY","Maison","2124"
"29167","PLOGASTEL ST GERMAIN","Maison","1457"
"29215","PLOZEVET","Maison","1555"
"29006","BENODET","Maison","2938"
"29058","FOUESNANT","Maison","2732"
"29051","ERGUE GABERIC","Maison","1643"
"29173","PLONEIS","Maison","1812"
"29168","PLOGOFF","Maison","1618"
"29214","PLOVAN","Maison","1866"
"29216","PLUGUFFAN","Maison","1692"
"29037","COMBRIT","Maison","2128"
"29174","PLONEOUR LANVERN","Maison","3163"
"29247","ST EVARZEC","Maison","1769"
"29171","PLOMEUR","Maison","2320"
"29169","PLOGONNEC","Maison","1632"
"29108","LANDUDEC","Maison","1224"
"29145","CONFORT MEILARS","Maison","1175"
"29224","POULDERGAT","Maison","1712"
"29060","GOUESNACH","Maison","2026"
"29161","PLEUVEN","Maison","1894"
"29284","TREFFIAGAT","Maison","2508"
"29218","PONT CROIX","Maison","1392"
"29228","PRIMELIN","Maison","1710"
"29087","LE JUCH","Maison","2026"
"29143","MAHALON","Maison","3036"
"29008","BEUZEC CAP SIZUN","Maison","1387"
"29159","PEUMERIT","Maison","1263"
"29233","QUIMPERLE","Maison","1683"
"29274","SCAER","Maison","1130"
"29302","PONT-DE-BUIS-LES-QUIMERC'H","Maison","1232"
"29039","CONCARNEAU","Maison","2281"
"29236","RIEC SUR BELON","Maison","1932"
"29042","CROZON","Maison","2331"
"29027","CHATEAUNEUF-DU-FAOU","Maison","987"
"29049","ELLIANT","Maison","1247"
"29142","LOTHEY","Maison","1181"
"29205","PLOUNEVEZEL","Maison","1227"
"29004","BANNALEC","Maison","1485"
"29016","BRASPARTS","Maison","763"
"29107","LANDUDAL","Maison","1741"
"29222","PORT-LAUNAY","Maison","1003"
"29241","ROSPORDEN","Maison","1433"
"29024","CARHAIX-PLOUGUER","Maison","1055"
"29146","MELGVEN","Maison","1794"
"29022","CAMARET-SUR-MER","Maison","1830"
"29249","SAINT GOAZEC","Maison","907"
"29036","COLLOREC","Maison","647"
"29125","LEUHAN","Maison","975"
"29162","PLEYBEN","Maison","1111"
"29053","LE FAOU","Maison","1443"
"29081","LE HUELGOAT","Maison","1289"
"29226","POULLAN SUR MER","Maison","1756"
"29291","TREGOUREZ","Maison","927"
"29275","SCRIGNAC","Maison","890"
"29293","TREGUNC","Maison","2293"
"29026","CHATEAULIN","Maison","1254"
"29300","LE TREVOUX","Maison","1509"
"29120","LANVEOC","Maison","1934"
"29020","BRIEC","Maison","1535"
"29048","EDERN","Maison","1621"
"29150","MOELAN SUR MER","Maison","2264"
"29147","MELLAC","Maison","1705"
"29211","PLOUYE","Maison","943"
"29227","POULLAOUEN","Maison","948"
"29153","NEVEZ","Maison","2390"
"29172","PLOMODIERN","Maison","1700"
"29062","GOUEZEC","Maison","1742"
"29102","LANDELEAU","Maison","731"
"29041","CORAY","Maison","1374"
"29005","BAYE","Maison","1552"
"29134","LOCRONAN","Maison","2071"
"29110","LANGOLEN","Maison","1416"
"29217","PONT-AVEN","Maison","1798"
"29031","CLOHARS CARNOET","Maison","2558"
"29230","QUERRIEN","Maison","1588"
"29297","TREMEVEN","Maison","1504"
"29044","DINEAULT","Maison","1265"
"29001","ARGOL","Maison","1554"
"29278","SPEZET","Maison","847"
"29234","REDENE","Maison","1536"
"29007","BERRIEN","Maison","1183"
"29272","SAINT YVI","Maison","1563"
"29025","CAST","Maison","1176"
"29176","PLONEVEZ-PORZAY","Maison","1367"
"29269","ST THURIEN","Maison","1087"
"29032","CLOHARS FOUESNANT","Maison","2221"
"29281","TOURCH","Maison","1212"
"29002","ARZANO","Maison","1393"
"29136","LOCUNOLE","Maison","1237"
"29071","GUILLIGOMARCH","Maison","1409"
"29212","PLOUZANE","Maison","1862"
"29178","PLOUDALMEZEAU","Maison","1874"
"29069","GUILERS","Maison","1939"
"29019","BREST","Maison","2006"
"29257","SAINT-PABU","Maison","1850"
"29109","LANDUNVEZ","Maison","2441"
"29208","PLOURIN","Maison","1677"
"29130","LOCMARIA-PLOUZANE","Maison","2289"
"29061","GOUESNOU","Maison","1975"
"29260","SAINT RENAN","Maison","1903"
"29017","BRELES","Maison","1941"
"29098","LAMPAUL-PLOUARZEL","Maison","1946"
"29177","PLOUARZEL","Maison","1993"
"29221","PORSPODER","Maison","1984"
"29099","LAMPAUL-PLOUDALMEZEAU","Maison","1854"
"29011","BOHARS","Maison","1984"
"29040","LE CONQUET","Maison","2187"
"29201","PLOUMOGUER","Maison","1942"
"29119","LANRIVOARE","Maison","1641"
"29190","PLOUGONVELIN","Maison","2598"
"29196","PLOUGUIN","Maison","1459"
"29112","LANILDUT","Maison","1668"
"29282","TREBABU","Maison","1577"
"29254","SAINT-MARTIN-DES-CHAMPS","Maison","1281"
"29270","SAINT-URBAIN","Maison","1793"
"29184","PLOUENAN","Maison","1189"
"29076","MILIZAC-GUIPRONVEL","Maison","1717"
"29290","TREGLONOU","Maison","1507"
"29288","TREGARANTEC","Maison","1358"
"29059","GARLAN","Maison","1295"
"29207","PLOURIN-LES-MORLAIX","Maison","1281"
"29030","CLEDER","Maison","1448"
"29210","PLOUVORN","Maison","1243"
"29259","SAINT-POL-DE-LEON","Maison","1535"
"29244","SAINT-DERRIEN","Maison","1111"
"29151","MORLAIX","Maison","1395"
"29117","LANNILIS","Maison","1614"
"29103","LANDERNEAU","Maison","1764"
"29045","DIRINON","Maison","1979"
"29183","PLOUEGAT-MOYSAN","Maison","1233"
"29188","PLOUGASNOU","Maison","2462"
"29021","PLOUNEOUR-BRIGNOGAN-PLAGES","Maison","1857"
"29235","LE RELECQ-KERHUON","Maison","2386"
"29105","LANDIVISIAU","Maison","1333"
"29204","PLOUNEVENTER","Maison","1248"
"29262","SAINT-SAUVEUR","Maison","1147"
"29266","SAINT-THEGONNEC LOC-EGUINER","Maison","1110"
"29189","PLOUGASTEL-DAOULAS","Maison","2127"
"29160","PLABENNEC","Maison","1861"
"29186","PLOUEZOC'H","Maison","1960"
"29191","PLOUGONVEN","Maison","1840"
"29279","TAULE","Maison","1151"
"29023","CARANTEC","Maison","2507"
"29155","OUESSANT","Maison","2674"
"29140","LOPERHET","Maison","1987"
"29192","PLOUGOULM","Maison","1397"
"29195","PLOUGUERNEAU","Maison","1783"
"29133","LOCQUIREC","Maison","2699"
"29182","PLOUEGAT-GUERRAND","Maison","1170"
"29034","LE CLOITRE-SAINT-THEGONNEC","Maison","1370"
"29273","SANTEC","Maison","2177"
"29163","PLEYBER-CHRIST","Maison","1281"
"29114","LANNEANOU","Maison","920"
"29206","PLOUNEVEZ-LOCHRIST","Maison","1426"
"29075","GUIPAVAS","Maison","2095"
"29055","LE FOLGOET","Maison","1499"
"29213","PLOUZEVEDE","Maison","1156"
"29198","PLOUIDER","Maison","1444"
"29248","SAINT-FREGANT","Maison","1165"
"29199","PLOUIGNEAU","Maison","1409"
"29111","LANHOUARNEAU","Maison","1216"
"29294","LE TREHOU","Maison","1150"
